id,titulo,titulo_espanol,generos,puntuacion,popularidad,miembros,fecha_inicio,sinopsis
33421,Yi Ren Zhi Xia,Hitori no Shita - The Outcast,"Action, Supernatural",6.82,1203,218514,2016-07-09,"When university student Zhang Chulan returns to his home village, he is devastated to learn that his grandfather Zhang Xilin's grave has been desecrated. As he investigates the cemetery in search for clues, he is attacked by a tomb raider using the false identity of Zhang Xilin's granddaughter. Left to die in a swarm of zombies summoned by the person who spirited his grandfather's body away, Zhang Chulan manages to escape thanks to qi, the power that his grandfather taught him. When Zhang Chulan"
35333,Yi Ren Zhi Xia 2,Hitori no Shita - The Outcast 2,"Action, Supernatural",7.37,2608,79410,2017-10-27,"Chou Soran must participate in the Raten Taishou to uncover his grandfather's secrets and the key to Fou Houhou's past. Though Houhou trains Soran, will that be enough to defeat powerful enemies who all seem out to get him while they struggle for power and victory in the tournament?"
38536,Yi Ren Zhi Xia 3: Rushi Pian,,"Action, Supernatural",6.84,3795,40814,2020-04-24,Third season of Yi Ren Zhi Xia.
49915,Yi Ren Zhi Xia 4th season,,"Action, Supernatural",6.97,5925,14258,2021-09-24,Sin sinopsis disponible
38325,Yi Ren Zhi Xia: Fanwai Pian,,"Action, Supernatural",6.61,7242,8730,2018-09-30,This story is about a Taoist master who went to the Heavenly Mountain.
