ID,Título,Título Japonés,Tipo,Año,Episodios,Estado,Puntuación,Popularidad,Géneros,Estudios,Sinopsis,Sinopsis Español
18897,Nisekoi,ニセコイ,TV,2014,20,Finished Airing,7.56,125,"Comedy, Romance",Shaft,"Raku Ichijou, a first-year student at Bonyari High School, is the sole heir to an intimidating yakuza family. Ten years ago, Raku made a promise to his childhood friend. Now, all he has to go on is a pendant with a lock, which can only be unlocked with the key which the girl took with her when they parted. Now, years later, Raku has grown into a typical teenager, and all he wants is to remain as uninvolved in his yakuza background as possible while spending his school days alongside his middle s...",
27787,Nisekoi:,ニセコイ,TV,2015,12,Finished Airing,7.34,300,"Comedy, Romance",Shaft,"Despite having seemingly quelled the war between their respective gangs, Raku Ichijou and Chitoge Kirisaki still carry on with their fake relationship. Eventually, as Chitoge's perception of Raku slowly changes, she even begins to see him as a little charming. Chitoge struggles to come to terms with her newfound feelings for Raku, as a new girl joins the slew of Raku's admirers and the competition among those vying for the yakuza heir's attention grows even fiercer. And amidst all this, Raku's s...",
24227,Nisekoi OVA,ニセコイ OAD,OVA,2014,3,Finished Airing,7.36,1514,"Comedy, Romance",Shaft,1. Funshitsu / Miko-san 2. Oshigoto / Henbou 3. Sentou / Service,
32553,Nisekoi: OVA,ニセコイ: OAD,OVA,N/A,2,Finished Airing,7.05,2223,"Comedy, Romance",N/A,"Shinkon Finally working in his ideal career as a public servant, Raku Ichijou is able to return home to his loving wife and whisk his worries away. Between freshly prepared meals and his wife's endless affection, Ichijou can think of little else to wish for—but such a seemingly perfect reality may be misleading. Magical Patissiere Kosaki-chan!! Dr. Maiko's presence causes peace in Boyari City to remain elusive, but justice is not far away. Learning from their recent efforts, the Magical Princess...",
30514,Nisekoimonogatari,ニセコイモノガタリ,PV,2015,1,Finished Airing,6.77,3445,N/A,Shaft,"Trailer for a fake crossover anime created by Shaft as an April Fools' Day joke, celebrating their 40th anniversary.",
