id,titulo,titulo_espanol,generos,puntuacion,popularidad,miembros,fecha_inicio,sinopsis
20583,Haikyuu!!,Haikyu!!,Sports,8.44,36,2080757,2014-04-06,"Ever since having witnessed the ""Little Giant"" and his astonishing skills on the volleyball court, Shouyou Hinata has been bewitched by the dynamic nature of the sport. Even though his attempt to make his debut as a volleyball regular during a middle school tournament went up in flames, he longs to prove that his less-than-impressive height ceases to be a hindrance in the face of his sheer will and perseverance. When Hinata enrolls in Karasuno High School, the Little Giant's alma mater, he belie"
30364,Haikyuu!! Movie 2: Shousha to Haisha,Haikyuu!! the Movie: The Winner and the Loser,Sports,8.09,2180,104588,2015-09-18,"The Inter-High has finally arrived for Karasuno High School's volleyball team. Their opponent at the tournament is Date Tech High Schoolthe team that crushed Karasuno the year prior. The loss brings back anxiety and fear for the team's second- and third-years as they were unable to overcome Date's ""read block."" With the dynamic freshmen duo Shouyou Hinata and Tobio Kageyama on their side, will Karasuno be able to overcome their past and break through the iron wall? Awaiting Karasuno in the next "
35321,Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,Haikyuu!! Special Feature! The Spring Tournament of Their Youth,Sports,7.51,3729,42034,2017-08-04,The OVA episode revisits the primary matches from the spring tournament and features interviews with players. Source: MAL News
28891,Haikyuu!! Second Season,Haikyu!! 2nd Season,Sports,8.62,88,1505896,2015-10-04,Sin sinopsis disponible
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,Sports,8.77,116,1273619,2016-10-08,"After the victory against Aoba Jousai High, Karasuno High School, once called a fallen powerhouse, a crow that cant fly, has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasunos greatest hurdle is their adversarys ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the countrys top three aces. Only the strongest team will make it to the national tou"
