id,titulo,titulo_espanol,generos,puntuacion,popularidad,miembros,fecha_inicio,sinopsis
459,One Piece Movie 01,One Piece: The Movie,"Action, Adventure, Fantasy",7.09,1688,147289,2000-03-04,"Many years ago, Woonan, a legendary pirate, plundered one-third of the world's gold and stashed it away on his secret island shrouded in mystery. In the present, Luffy and the rest of the Straw Hats continue on their journey to the Grand Line. They are robbed by a group of bandits. Led by their captain, El Drago, these same bandits are headed towards Woonan's famed island. Even though the Straw Hat Pirates must now recover their stolen treasure, they have gained another objective: to discover th"
21,One Piece,One Piece,"Action, Adventure, Fantasy",8.73,17,2527954,1999-10-20,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts "
38234,One Piece Movie 14: Stampede,One Piece: Stampede,"Action, Adventure, Fantasy",8.19,1251,208877,2019-08-09,"Monkey D. Luffy and the Straw Hats arrive aboard the Sunny to the Pirates Festival, the world's largest celebration created by and for pirates. Buena Festa, the festival organizer, invites the Straw Hats and all Worst Generation crews to partake in the festivities. Luring even Shichibukai and Marines to its shores, it seems that no pirate or sailor can resist the enticing secrets that the event hides behind its glamor. The festival's contest is simple: find one of the treasures Gol D. Roger left"
50410,One Piece Film: Red,One Piece Film: Red,"Action, Adventure, Award Winning, Comedy, Drama, Fantasy",7.82,1256,207778,2022-08-06,"As a child, Utathe Red Hair Pirates' ex-musician and Monkey D. Luffy's childhood friendpromised that she would build a new era of freedom by performing joyful music for the world. Luffy and the Straw Hat Crew arrive at Uta's first ever live concert, where many fans have gathered to enjoy the diva's otherworldly singing. Due to a childhood trauma, Uta bears a deep-seated hatred for pirates; her happy reunion with Luffy is cut short when she learns that he has since become one. Luffy's refusal to "
9999,One Piece 3D: Mugiwara Chase,One Piece 3D: Straw Hat Chase,"Action, Adventure, Fantasy",6.89,2886,67063,2011-03-19,"According to Weekly Shonen Jump, 3D movies of One Piece and Toriko were announced to premiere on March 19th, 2011. One Piece 3D is an original story about the missing straw hat of Luffy."
